date,segment,inventory,sold_proxy,new_listings,prev_inventory,absorption_rate
2026-08-01,Huyện Gia Lâm,18,,,,
2026-08-01,Huyện Hoài Đức,9,,,,
2026-08-01,Huyện Thanh Trì,11,,,,
2026-08-01,Huyện Đan Phượng,1,,,,
2026-08-01,Huyện Đông Anh,3,,,,
2026-08-01,Quận Ba Đình,5,,,,
2026-08-01,Quận Bắc Từ Liêm,25,,,,
2026-08-01,Quận Cầu Giấy,39,,,,
2026-08-01,Quận Hai Bà Trưng,18,,,,
2026-08-01,Quận Hoàn Kiếm,4,,,,
2026-08-01,Quận Hoàng Mai,55,,,,
2026-08-01,Quận Hà Đông,50,,,,
2026-08-01,Quận Long Biên,22,,,,
2026-08-01,Quận Nam Từ Liêm,63,,,,
2026-08-01,Quận Thanh Xuân,28,,,,
2026-08-01,Quận Tây Hồ,9,,,,
2026-08-01,Quận Đống Đa,28,,,,
